qstr_cloak_green|capa verde
qstr_Medium_sized_group_o|Grupos inimigos de médio porte foram avistados em torno de {s1}.
qstr_Significant_group_of|Um significativo número de tropas inimigas foi detectado próximo a {s1}.
qstr_Army_of_enemies_spot|Um exército inimigo foi detectado nos arredores de {s1}.
qstr_Large_army_of_enemie|Um grande exército inimigo foi detectado próximo a {s1}.
qstr_Great_host_of_enemie|Impressionantes contingentes de tropas inimigas foram avistados em torno de {s1}.
qstr_{s0}_collects_{reg0}|{s0} coletou {reg0} denares de {s4}, riqueza atual: {reg1} denares
qstr__{s10}_of_{s13}_recr| {s10} de {s13} recrutas {s11} {s12} em {s14}
qstr_{s1}_has_been_besieg|{s1} foi sitiado pelo {s2} do {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s5}_has_the_greates|O {s5} tem o maior apoio entre os senhores do {s4} para ser o próximo marechal. {s0} está indisposto e não pode ignorar suas opiniões.
qstr_{s5}_has_the_greatest|O {s5} tem o maior apoio entre os senhores do {s4} para receber {s1}. {s0} está indisposto e não pode ignorar suas opiniões.
qstr_{s5}_has_the_greatest_|O {s5} tem o maior apoio entre os senhores do {s4} para ser o próximo marechal, mas {s0} ignorou suas opiniões.
qstr_{s5}_has_the_greatest_s|O {s5} tem o maior apoio entre os senhores do {s4} para receber {s1}, mas {s0} ignorou suas opiniões.
qstr_{s1}_is_the_new_mars|O {s1} é o novo marechal do {s2}.
qstr_You_gained_{reg12}_r|Seu renome cresceu em {reg12} pontos.
qstr_You_lose_{reg12}_ren|Seu renome foi manchado em {reg12} pontos.
qstr_Your_relation_with_{|Sua relação com {s1} foi melhorada.
qstr_Your_relation_with_{s|Sua relação com {s1} foi deteriorada.
qstr_You_gain_honour.|Você ganha honra.
qstr_You_lose_honour.|Você perde honra.
qstr_{s1}_has_declared_wa|O {s1} declarou guerra ao {s2}.
qstr_{s0}_is_laying_siege|O {s0} está sitiando {s1}.
qstr_{s0}_is_patrolling_a|O {s0} está patrulhando ao redor de {s1}.
qstr_{s0}_is_raiding_arou|O {s0} está arrasando {s1}.
qstr_{s0}_is_engaging_{s1|O {s0} está cortejando {s1}.
qstr_{s0}_is_accompanying|O {s0} está acompanhando {s1}.
qstr_{s0}_is_screening_th|O {s0} está avaliando o avanço de {s1}.
qstr_{s0}_is_trading_with|O {s0} está negociando com {s1}.
qstr_{s0}_is_retreating_t|O {s0} está recuando para {s1}.
qstr_{s0}_is_visiting_{s1|O {s0} está visitando {s1}.
qstr_{s1}_and_{s2}_have_m|O {s1} e o {s2} firmaram um tratado de paz.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?encontrava-se:encontra-se atualmente} em {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?encontrava-se:encontra-se} viajando para {s3} e {reg3?devia estar:deve estar} próximo de {s4}.
qstr_{s2}_{reg3?was:is}_tr|{s2} {reg3?encontrava-se:encontra-se} viajando para {s3} e {reg3?devia estar:deve estar} entre {s4} e {s1}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?encontrava-se:encontra-se} em campo aberto e {reg3? devia estar:deve estar} próximo de {s3}.
qstr_{s2}_{reg3?was:is}_in|{s2} {reg3?encontrava-se:encontra-se} em campo aberto e {reg3? devia estar:deve estar} entre {s3} e {s1}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?encontrava-se:encontra-se} cativo em {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?tinha sido:foi} {reg4?capturada:capturado} por seus inimigos.
qstr_{reg3?{s2}_s_locatio|{reg3?A localização de {s2} é desconhecida:Não sei onde {s2} está}.
qstr_{s6}_has_joined_your|{s6} uniu-se a seu exército.
qstr_You_now_owe_{reg2}_d|A partir de agora você deve {reg2} denares ao {s1}.
qstr_You_have_deserted_fr|Você desertou do exército do {s13}!
qstr_Notice!|Aviso!
qstr_Renown_value_for_thi|Por esta batalha, seu renome aumentará em {reg8} pontos.
qstr_You_have_run_into_a_|Você caiu em uma emboscada!
qstr_You_are_attacked_by_|Um grupo de bandidos lhe atacou!
qstr_Holding|Esperando
qstr_Following|Seguindo
qstr_Charging|Atacando
qstr_Advancing|Avançando
qstr_Falling_Back|Retrocedendo
qstr_Standing_Closer|Aproximando-se
qstr_Spreading_Out|Afastando-se
qstr_Standing|Detidos
qstr_Any_Weapon|Qualquer arma
qstr_Blunt_Weapons|Armas contundentes
qstr_Your_soldiers_patroll|Seus soldados patrulhando {s6} debandaram pois você deixou a facção!
qstr_{s1}_Rebels|Rebeldes do {s1}
qstr_Given_by:_{s62}|Designada por: {s62}
qstr_Given_on:_{s60}|Designada em: {s60}
qstr_You_have_{reg0}_days|Você tem {reg0} dias para completar esta missão.
qstr_This_quest_has_been_|Missão completada. Fale com {s59} para finalizá-la.
qstr_This_quest_has_been_s|Missão completada com sucesso. Fale com {s59} para reclamar sua recompensa.
qstr_This_quest_has_faile|Missão fracassada. Fale com {s59} para explicar-lhe a situação.
qstr_At_the_time_quest_wa|Esta missão, ao momento de ser designada:^{s1}
qstr_{s5}_has_a_strength_|{s5} possui uma força de {reg1} homens no total.
qstr_The_last_time_you_sa|Da última vez que você {reg1?a:o} viu, {s1}
qstr_The_last_time_you_he|Da última vez que você escutou falar acerca {reg1?ela:ele}, {s1}
qstr_Current_garrison_con|A guarnição atual consta de {reg5} homens.^Suas reservas de comida são suficientes para {reg6} dias.
qstr_Very_Poor|Muito Pobre
qstr_Poor|Pobre
qstr_Average|Normal
qstr_Rich|Rica
qstr_Very_Rich|Muito Rica
qstr_A_manor_lets_you_res|Uma casa senhorial lhe permite descansar na aldeia e pagar a suas tropas a metade do salário enquanto está descansando.
qstr_Granary_is_a_storeho|Um celeiro para guardar trigo e/ou comida para os animais, aumenta a prosperidade da aldeia em 5%.
qstr_Mill_is_built_to_pum|O moinho ser para bombear água e moer o trigo. Ele aumenta a prosperidade da aldeia em 5%.
qstr_Watch_Tower|uma torre de vigilância
qstr_A_watch_tower_lets_t|Uma torre de vigilância permite aos camponeses soar alarmes de forma rápida. Além disso, o tempo que seus inimigos levarão para saquear sua aldeia aumentará em 50%.
qstr_A_school_increases_t|Uma escola aumenta a lealdade dos aldeões por você em +1 a cada semana.
qstr_Messenger_Post|um posto de mensagens
qstr_A_messenger_post_let|Um posto de mensagens permite aos camponeses enviar-lhe uma mensagem quando inimigos se aproximam, mesmo que você esteja longe.
qstr_Prison_Tower|uma torre de prisioneiros
qstr_A_prison_tower_reduc|Uma torre de prisioneiros reduz a possibilidade de fuga de seus prisioneiros.
qstr_Merchant_Guild_Hall|Salão da Guilda Mercadora
qstr_Build_it_to_please_t|Construa para ajudar a comunidade de mercadores e o comércio das empresas locais. Aumenta a prosperidade da cidade a cada semana.
qstr_Build_it_to_increase|Construa isso para aumentar o apoio à sua pessoa. Aumenta seu renome e a relação com a cidade a cada semana.
qstr_A_blacksmith_refills|Um ferreiro recarrega as munições suas e de suas tropas a cada minuto durante um cerco defensivo.
qstr_A_palisade_is_a_simp|Uma paliçada é uma "muralha" de estacas de madeira em volta da aldeia. Simples, porém protege contra inimigos. O tempo que os inimigos levam para pilhar a aldeia aumenta em 25%.
qstr_Prosperity_of_{s2}_h|A prosperidade de {s2} mudou de {s3} para {s4}.
qstr_{s4}_looks_upset.|{s4} parece alterado.
qstr_your_party|seu exército
qstr_{reg0?One_of_your_pr|{reg0?Um de seus prisioneiros, :}{s1} do {s3} escapou!
qstr_You_brought_{reg3}_h|Você conduziu {reg3} cabeças de gado a {s1}.
qstr_I_heard_that_there_w|Ouvi dizer que em breve haverá um torneio em {s62}.
qstr_I_heard_some_people_|Ouvi algumas pessoas dizerem que não acreditam que {s6} realmente esteja morto.
qstr_I_heard_a_traveller_|Ouvi um viajante dizer que encontrou {s6} enquanto viajava além dessas terras.
qstr_I_heard_that_{s6}_in|Ouvi dizer que {s6} pretende levantar um exército e apoderar-se do trono de {s61}.
qstr_I_heard_that_one_can|Ouvi dizer que é possível comprar {s62} a um preço muito baixo em {s63}.
qstr_I_heard_that_they_pa|Ouvi dizer que pagam um alto preço por {s62} em {s63}.
qstr_two_days_ago|faz dois dias
qstr_Best_threat_of_{s4}_|A maior ameaça de {s4} tem um valor de {reg1}
qstr_No_center_found_to_d|Não foi encontrado nenhum centro para defender
qstr_You_gain_right_to_ru|Você ganha direito de governar.
qstr_You_lose_right_to_ru|Você perde direito de governar.
qstr_{s0}^{s1}|{s0}^{s1}
qstr_{reg0}_denars_added_|{reg0} denares adicionados ao tesouro.
qstr_{reg0}_denars_remove|{reg0} denares removidos do tesouro.
qstr_{s1}_and_{s2}_have_e|O {s1} e o {s2} firmaram uma aliança.
qstr_{s1}_and_{s2}_have_c|O {s1} e o {s2} firmaram um pacto defensivo.
qstr_{s1}_and_{s2}_have_co|O {s1} e o {s2} assinaram um acordo comercial.
qstr_{s1}_and_{s2}_have_con|O {s1} e o {s2} assinaram um tratado de não-agressão.
qstr_{s5}_patrol|{s5} patrulha
qstr_Transfer_to_{s5}|Transferir para {s5}
qstr_{s5}_scout|{s5} batedor
qstr_{s4}_has_returned_fr|{s4} retornou do exílio, buscando refúgio com {s6} do {s5}.
qstr_{s4}_has_been_grante|{s4} recebeu o perdão de {s6} do {s5} e retornou do exílio.
qstr_Given_the_way_things|Dada a forma como as coisas estão entre nós no momento, {playername}, eu não considero prudente entrar em tal arranjo.
qstr_{playername}_I_am_gr|{playername}, sou grata a você, mas aos olhos das pessoas, você não tem legitimidade suficiente como co-governante. Casar com você minaria minha própria pretensão ao trono.
qstr_{playername}_I_know_|{playername}, eu sei que se não fosse por você jamais sentaria neste trono, mas seu nome é pouco conhecido em Calradia. Casar com você seria visto como uma relação desigual e colocaria em cheque minha própria pretensão ao trono.
qstr_{playername}_I_am_gra|{playername}, tenho muita gratidão por sua ajuda em recuperar meu legítimo trono, mas você não tem suficientes propriedades pessoais que {o/a} caracterizariam como um cônjuge adequado para mim. Seria uma parceria desigual.
qstr_{playername}_I_am_grat|{playername}, sou grata a você, mas se eu aceitasse nesse momento eu arriscaria ofender poderosos senhores, tais como {s15}, que pode se considerar digno de tal honra, ou até mesmo mais que você.
qstr_{playername}_I_am_grate|{playername}, sou grata a você, mas se eu aceitasse nesse momento eu arriscaria ofender grandes senhores, tais como {s15}, que pode se considerar digno de tal honra, ou até mesmo mais que você.
qstr_{playername}_while_I|{playername}, sou grata a você, mas devo confessar que eu gosto de {s15}.
qstr_Our_realm_has_too_fe|Nosso reino tem poucos vassalos. Na atual situação dos negócios, eu devo me valer da possibilidade de atrair potenciais vassalos por meio de uma aliança, e ainda não posso dizer quem se comprometa como um {reg65?pretendente:candidato}.
qstr_Because_I_have_insuf|Porque eu tenho insuficientes bens pessoais em comparação ao {s15}, se eu fizesse tal arranjo eu arriscaria parecer um fantoche, arriscando a estabilidade do reino.
qstr_Because_my_personal_|Porque minhas propriedades pessoais não são suficientemente grandes, se comparado aos outros senhores do {s14}, se eu fizesse tal arranjo eu arriscaria parecer um fantoche, arriscando a estabilidade do reino.
qstr_I_am_grateful_to_you|Sou grata a você, {playername}, mas você tem muitos inimigos entre os senhores do {s14}, para que sua proposta seja politicamente viável. Se eu aceitasse, poderia haver uma revolta.
qstr_You_have_engendered_|Você criou muita controvérsia recentemente, {playername}. Se eu aceitasse nesse momento, poderia haver uma revolta entre os senhores do {s14}. Falemos disso mais tarde, quando o furor diminuir.
qstr_If_you_desire_to_lea|Se você deseja liderar o {s14} ao meu lado, obtenha apoio entre meus vassalos para se tornar marechal, e demonstre as suas habilidades como líder de guerra.
qstr_Our_realm_has_lost_t|Nosso reino perdeu muitos territórios. Uma vez tivemos {s1} mas agora temos apenas {s0}. No atual estado precário, devo manter a possibilidade de uma aliança política como moeda de barganha com os outros soberanos, de modo que eu possa me comprometer com qualquer {reg65?pretendente:candidato}. Restaure o {s14} para sua antiga glória e eu alegremente terei você governando ao meu lado como {meu marido/minha esposa}.
qstr_{s0}_{reg0?have:has}|O {s0} se perdeu em mãos estrangeiras. Restaure o {s14} para seus legítimos limites e eu alegremente terei você governando ao meu lado como {meu marido/minha esposa}.
qstr_You_have_only_been_m|Você é marechal por {reg0} {reg1?dias:dia}. Falemos disso depois de você ocupar o cargo por pelo menos duas semanas.
qstr_If_not_for_you_I_wou|Se não fosse por você eu jamais sentaria nesse trono, {playername}. Quando começamos nossa longa caminhada, poucas pessoas tiveram a coragem de me apoiar. E menos ainda foram aqueles dispostos a colocar suas vidas em jogo por minha causa. Mas você não hesitou em nenhum momento em lançar-se contra nossos inimigos. Nós passamos por muita coisa juntos, e com a ajuda de Deus, prevalecemos. Com muito prazer eu aceito você para ser {meu marido/minha esposa} e governar o {s14} ao meu lado.
qstr_You_sold_{reg1}_{reg|Você vendeu {reg1} {reg3?itens:item} para {s0} e recebeu {reg0} {reg3?denares:denar}.
qstr_You_sold_{reg1}_{reg3|Você vendeu {reg1} {reg3?itens:item} ao {s0} e recebeu {reg0} {reg3?denares:denar}.
qstr_You_have_bought_{reg|Você comprou {reg2} {reg4?tipos:tipo} de comida e gastou {reg1} {reg3?denares:denar}.
qstr_You_sold_{reg2}_{reg|Você vendeu {reg2} {reg4?tipos:tipo} de comida estragada e ganhou {reg1} {reg3?denares:denar}.
qstr_axe|machado
qstr_spear|lança
qstr_bow|arco
qstr_sword|espada
qstr_axes|machados
qstr_spears|lanças
qstr_bows|arcos
qstr_swords|espadas
qstr_swing_my_axe|balançar meu machado
qstr_lift_my_spear|sustentar minha lança
qstr_loose_my_arrows|liberar minhas flechas
qstr_swing_my_sword|balançar minha espada
qstr_sultan|sultão
qstr_khans|khans
qstr_sultans|sultões
qstr_kings|reis
qstr_lord|lorde
qstr_lords|lordes
qstr_goatherd|criador de cabras
qstr_swineherd|guardador de porcos
qstr_stable_{boy/girl}|{garoto/garota} do estábulo
qstr_shepherd_{boy/girl}|{pastor/pastora} de ovelhas
qstr_kvass|kvass
qstr_kumis|kumis
qstr_mead|hidromel
qstr_wine|vinho
qstr_{reg6?M:m}y_poppet|{reg6?M:m}inha boneca
qstr_{reg0?Y:y}ou|{reg0?V:v}ocê
qstr_{reg0?M:m}yself|{reg0?E:e}u mesmo
qstr_{reg0?O:o}ur_{s1}_{s|{reg0?N:n}osso {s1} {s0}
qstr_{reg0?M:m}y_{s1}_{s0|{reg0?M:m}eu {s1} {s0}
qstr_{reg0?Y:y}our_{s1}_{|{reg0?S:s}eu {s1} {s0}
qstr_{s2}:_{reg3}_{reg4}_|{s2}: {reg3}, {reg4} dias
qstr_{s4}:_{reg4}|{s4}: {reg4}
qstr_{s1}_gathering_suppo|{s1}(reunindo apoio)
qstr_{s1}__intelligence_|{s1} (missão de inteligência)
qstr_{s1}__pursuing_peace|{s1} (flertando com a paz)
qstr_{s1}__minister_|{s1} (ministro)
qstr_{s1}__under_arms_|{s1} (sob armas)
qstr_{s1}__attempting_to_|{s1} (tentando reagrupar)
qstr_{s1}__separated_afte|{s1} (separado após a batalha)
qstr__knows_of_you.| conhece você.
qstr__has_no_opinion_abou| não tem opinião sobre você.
qstr_{s57}_and_{s50}|{s57} e {s50}
qstr_Calradia.|Calradia.
qstr_sworn_man|homem jurado
qstr_ruler|governante
qstr_free_man|homem livre
qstr_{s1}_^^Renown:_{reg4|{s1} ^^Renome: {reg40}, Controvérsia: {reg41} Honra: {reg42}, Direito de governar: {reg43}^^Você é u{m/ma} {s44} de {s45}^{reg45?{reg46?Seu líder, {s46},{s47}:}:}^^Feudos:^  {reg50?{s50}:sem feudos}
qstr_{s1}{s2}_{reg46?Repu|{s1}{s2} {reg46?Reputação {s42}:}^Renome: {reg40}, Controvérsia: {reg41} {reg46?Impaciência: {reg43}:}^Nobre {s44} do {s45}^{reg46?Suserano: {s46}, Relação: {reg47}:Governante do {s45}}^^{reg48?Atualmente prisioneiro do {s48}:}^Dias desde a última interação: {reg49}^^Feudos {reg51?(foi prometido um feudo):}:^  {reg50?{s50}:sem feudos}
qstr_conventional|convencional
qstr_adventurous|aventureiro
qstr_otherwordly|transcendente
qstr_ambitious|ambicioso
qstr_moralist|moralista
qstr_just_met|recém conhecido
qstr_admirer|admirador
qstr_promised|prometido
qstr_breakup|rompido
qstr_unknown|desconhecido
qstr_Heroic_{s50}|Heroico {s50}
qstr_Allegoric_{s50}|Alegórico {s50}
qstr_Comic_{s50}|Cômico {s50}
qstr_Mystic_{s50}|Místico {s50}
qstr_Tragic_{s50}|Trágico {s50}
qstr_{s1}{s2}_Controversy|{s1}{s2} Controvérsia: {reg41}^Reputação: {s42}, Estado do cortejo: {s43}^Pertence ao {s45}^{reg46?Seu pai, {s46}:Seu guardião, {s46}}{s47}^Permitido visitar: {reg45?sim:não} {reg48?Noivado com {s48}:}^^Dias desde a última visita: {reg49}^^Poemas:^  {reg50?{s50}:nenhum poema conhecido}
qstr_Gathering_support|Reunindo apoio
qstr_Gathering_intelligen|Recolhendo informações no {s66}
qstr_Ambassy_to_{s66}|Embaixador em {s66}
qstr_Minister|Ministro
qstr_none|nenhum
qstr_{s1}_{s2}^Reputation|{s1}, {s2}^Reputação: {s42}^Nascido em {s43}^Contato em {s44} de {s45}.^^{reg48?Atualmente prisioneiro do {s48}:}^Dias desde a última interação: {reg49}^^Missão atual:^  {s50}{reg50?, volta em {reg50} dias.:}
qstr_{s1}^|{s1}^
qstr_{s0}_Trade_Ledger_Ar|{s0} Ordem de Registro de Comércio
qstr_DEBUG_:_attack_of_{s|DEBUG : ataque de {s8} é {reg0}({reg11}), prs:{reg7}, pow:{reg8}, dis:{reg9}, lst:{reg10}
qstr__knows_of_you| conhece você
qstr_{s1}_wife_of_{s3}{re|{s1}, esposa do {s3}{reg0?,{s60}:}
qstr_{s1}_{reg1?daughter_|{s1}, {reg1?filha do:irmã do} {s3}{reg4?, prometida ao {s5}:}{reg0?,{s60}:}
qstr_{s3}_and_{s6}|{s3} e {s6}
qstr_{s1}{reg4?_son_of_{s|{s1}{reg4?, filho do {s5}{reg1?,:{reg0?,:}}:}{reg1? prisioneiro{reg0?,:}:}{reg0?{s60}:}
qstr_{s10}_{reg1?daughter|{s10}, {reg1?filha do:irmã do} {s3}{reg4?, prometida ao {ss5}:}{reg0?,{s60}:}
qstr_Messenger_{s65}|Mensageiro {s65}
qstr_Envoy_{s65}|Emissário {s65}
qstr_Consul_{s65}|Cônsul {s65}
qstr_Legate_{s65}|Embaixador {s65}
qstr_Missi_Dominici_{s65}|Missi Dominici {s65}
qstr_{s65}|{s65}
qstr_{s10}{reg0?__who{s60|{s10}{reg0? (quem{s60}):}
qstr_{s11}__{s61}_|{s11} ({s61})
qstr__Fortifications_will| As fortificações demorarão {reg5} horas para ficarem prontas.
qstr_{s2}{s1}_|{s2}{s1}, 
qstr__The_following_food_| Os seguintes suprimentos foram destruídos ou saqueados: {s2}.
qstr__A_pack_horse_has_ra| Um cavalo de carga fugiu!!
qstr__Some_tools_have_bee| Algumas ferramentas foram quebradas ou perdidas.
qstr__{reg3}| {reg3}
qstr_{reg4}_killed_{reg5}|{reg4} morto, {reg5} noucauteado
qstr_{s0}^{s1}:_{reg3}__{|{s0}^{s1}: {reg3} ({s2})
qstr_{s0}^{s1}_ally_:_{re|{s0}^{s1}(ally): {reg3} ({s2})
qstr_{s0}^{s1}_enemy_:_{r|{s0}^{s1}(enemy): {reg3} ({s2})
qstr_Lame|Coxo
qstr_Swaybacked|Corcovado
qstr_Timid|Tímido
qstr_Meek|Dócil
qstr_Stubborn|Teimoso
qstr_Heavy|Enorme
qstr_Spirited|Espirituoso
qstr_Champion|Campeão
qstr_Cracked|com Rachaduras
qstr_Battered|com Danos
qstr_Thick|Contundente
qstr_Reinforced|com Reforços
qstr_Rusty|com Ferrugem
qstr_Tattered|em Mal Estado
qstr_Ragged|em Pedaços
qstr_Crude|de Grosso Acabamento
qstr_Sturdy|Resistente
qstr_Hardened|Durável
qstr_Lordly|de Qualidade Senhorial
qstr_Broken|em Destroços
qstr_Bent|com Dobras
qstr_Chipped|com Lascas
qstr_Strong|Forte
qstr_Balanced|com Bom Balanço
qstr_Tempered|com Boa Têmpera
qstr_Masterwork|de Qualidade Suprema
qstr_Large_Bag_of|Bolsa Grande de
qstr_{s1}_is_holding_a_we|{s1} está esperando um casamento.
qstr_{s0}_raised_arms_and|{s0} levantou armas e agora é um herói de {s1}.
qstr_ERROR:_troop_no_is_a|ERROR: troop no is already an active lord
qstr_Tsaritsa_{s0}|Czaritsa {s0}
qstr_Tsar_{s0}|Czar {s0}
qstr_{s0}_Khathun|{s0} Khathun
qstr_{s0}_Khagan|{s0} Khagan
qstr_Queen_{s0}|Rainha {s0}
qstr_King_{s0}|Rei {s0}
qstr_Sultana_{s0}|Sultana {s0}
qstr_Sultan_{s0}|Sultão {s0}
qstr_Dogaressa_{s0}|Dogaressa {s0}
qstr_Doge_{s0}|Doge {s0}
qstr_Kaiserin_{s0}|Kaiserin {s0}
qstr_Kaiser_{s0}|Kaiser {s0}
qstr_{s0}_s_Party|Tropas do {s0}
qstr_Hold|Mantenham a formação
qstr_{s1}_x{reg0}|{s1} x{reg0}
qstr_Hold_Fire|Cessar-fogo!
qstr_Fire_at_Will|Abrir fogo!
qstr_Use_Shield|Usem Escudo
qstr_Back_10_Paces|Retrocedam 10 Passos
qstr_{s2}^{s1}|{s2}^{s1}
qstr_No_Position_Orders|Sem Ordens de Posicionamento
qstr_No_Weapons_Orders|Sem Ordens de Armas
qstr_ready_bows_and_missi|arcos e munições prontos
qstr_ready_side_arms|armas prontas
qstr_ready_two_handers|duas mãos prontas
qstr_ready_polearms|armas de haste prontas
qstr_brandish_shields|brandir escudos
qstr_doff_your_shields|guardem seus escudos
qstr_shields_at_will|escudos à vontade
qstr_avoid_melee|evitem combate corporal
qstr_stand_and_fight|fiquem e lutem
qstr_prepare_to_volley|preparar para salva de armas
qstr_end_volley|finalizar salva de armas
qstr_brace_for_charge|suporte para o ataque
qstr_remove_brace_and_fig|removam o suporte e lutem
qstr_Everyone|Todos
qstr_You_are_not_skilled_|Habilidade insuficiente para golpear com o escudo.
qstr_No_Troops_Left.|Não restam tropas.
qstr_Undefined!|Indefinido!
qstr_DEBUG_:_Weather_pena|DEBUG : Penalidade do Clima {reg2}% - {s0}: {reg0} para {reg1}
qstr_DEBUG_:_{s0}_profici|DEBUG : {s0} proficiência restaurada para: {reg1}
qstr_ranks|fileiras
qstr_shield_wall|parede de escudo
qstr_wedge|cunha
qstr_square|quadrado
qstr_up|cima
qstr_Not_enough_troops_in|Não há tropas suficientes na categoria {s2} para formar {s1}, mas mantendo posição.
qstr_infantry|infantaria
qstr_archer|arqueiros
qstr_cavalry|cavalaria
qstr_polearm|arma de haste
qstr_skirmisher|escaramuça
qstr_mounted_archer|arqueiro montado
qstr_support|apoio
qstr_bodyguard|guarda-costa
qstr_undetermined_type_of|tipo indeterminado de
qstr_{s1}:_infantry_forma|{s1}: formação da infantaria desfeita.
qstr_{s1}:_archer_formati|{s1}: formação dos arqueiros desfeita.
qstr_{s1}:_skirmisher_for|{s1}: formação da escaramuça desfeita.
qstr_{s1}:_cavalry_format|{s1}: formação da cavalaria desfeita.
qstr_{s1}:_formation_disa|{s1}: formação desfeita.
qstr_Cavalry_formation_di|Formação da Cavalaria Desfeita.
qstr_Current_rank:_{s5}|Hierarquia atual: {s5}
qstr_You_have_left_your_c|Você deixou seu comandante!
qstr_If_you_do_not_return|Se não retornar ao seu comandante a tempo, você será {reg63?declarado um desertor:declarada uma desertora}.
qstr_You_have_rejoined_yo|Você se juntou ao seu comandante!
qstr_You_have_been_captur|Você foi {reg63?capturado:capturada}! Fuja e se reúna com seu comandante!
qstr___too_weak_for_requi| -- não cumpre os requisitos de armas corpo a corpo
qstr___too_weak_for_requir| -- não cumpre os requisitos de armadura
qstr___lacking_required_r| -- não cumpre os requisitos de habilidade de longo alcance ou força
qstr___horsemanship_needs| -- montaria precisa ser melhorada
qstr_{s3}_{s2}|{s3}, {s2}
qstr_The_equipment_of_a_{|O equipamento de um {s1}: {s2}foi atribuído a você.
qstr_The_equipment_of_a_{s|O equipamento de um {s1}: {s2}foi tomado de você.
qstr_array[{reg0}]_create|matriz[{reg0}] criada
qstr_array[{reg0}]_destro|matriz[{reg0}] destruida
qstr_array_p_shift_range_|matriz p matriz de intervalo de mudança={reg21}, índice inicial={reg22}, índice final={reg23}, intervalo de deslocamento={reg24}, valor padrão={reg25}
qstr_You_have_{reg0}_opti|Você tem {reg0} opção(s) restando.
qstr_ERROR__TPE_:_{s1}_ha|ERRO (TPE): {s1} tem um número de escolha inválido @ {reg21}.
qstr_You_will_be_using_yo|Você usará seu próprio equipamento^na próxima luta.
qstr_You_have_no_weapons_|Você não selecionou armas.
qstr_You_re_using_more_th|Você está usando mais de 4 espaços de armas.
qstr_You_currently_have_n|Atualmente você não possui arma corpo a corpo.
qstr_DEBUG__TPE_Weapon_Lo|DEBUG (TPE Lógica de Arma): Você possui {reg1} espaços de armas ({reg3} escudo) em uso para carregar {reg0} armas.  Verificação de armas corpo a corpo: {reg2}
qstr_ERROR__script_tpe_se|ERRO (definir opção do script tpe): Espaço #{reg31} tem um tipo inválido de {reg32}.
qstr_You_already_have_thr|Você já possui três opções selecionadas.
qstr_ERROR__TPE_Design_:_|ERRO (TPE Design): Um tipo inválido de (arma normal) foi detectada.
qstr_ERROR__TPE_Design_:_A|ERRO (TPE Design): Um inválido tipo de (arma aprimorada) foi detectada.
qstr_DEBUG__TPE_:_{s1}_is|DEBUG (TPE): {s1} está no time {reg0} e deverá registrar uma entrada {reg1}.
qstr_{s1}_enhanced_horse_|{s1} cavalo aprimorado (+2),
qstr_{s1}_horse__+1_|{s1} cavalo (+1),
qstr_{s1}_enhanced_armor_|{s1} armadura aprimorada (+1),
qstr_{s1}_enhanced_helmet|{s1} elmo aprimorado,
qstr_{s1}_enhanced_boots|{s1} botas aprimoradas,
qstr_{s1}_armor|{s1} armadura,
qstr_{s1}_helmet|{s1} elmo,
qstr_{s1}_boots|{s1} botas,
qstr_{s1}_enhanced_shield|{s1} escudo aprimorado (+1),
qstr_{s1}_shield|{s1} escudo,
qstr_{s1}_enhanced_{s2}_l|{s1} lança {s2} aprimorada (+2),
qstr_{s1}_{s2}__+1_|{s1} {s2} (+1),
qstr_{s1}_enhanced_{s2}__|{s1} {s2} aprimorado (+2),
qstr_DEBUG__TPE_:_{s2}_re|DEBUG (TPE): {s2} recebeu {s1}.
qstr___limited_| (limitado)
qstr_{s22}{s21}|{s22}{s21}
qstr_{reg2}_points|{reg2} pontos
qstr_{s23}|{s23}
qstr_DEBUG__TPE____ARRAY_|DEBUG (TPE) - ARRAY COPY ATTEMPT.
qstr_DEBUG__TPE_:_Source_|DEBUG (TPE): Fonte -> Alvo da Cópia.  Espaço {reg1} = {s1}.
qstr_DEBUG__TPE_:_{s1}_ga|DEBUG (TPE): {s1} ganhou {reg1} de {reg2} pontos totais nessa rodada.
qstr_DEBUG__TPE_sort_:_Ra|DEBUG (TPE sort): Classificação {reg2} é {s1} com {reg1} pontos.
qstr_DEBUG__TPE_:_Faction|DEBUG (TPE): Facção "{s21}" decidiu por "{s22}".
qstr_DEBUG__TPE_:_Difficu|DEBUG (TPE): Difficulty slider position invalid.  Default team size = 3.
qstr_DEBUG__TPE_:_Difficul|DEBUG (TPE): Difficulty slider position invalid.  Default team number = 3.
qstr_Random|Aleatório
qstr_Hard|Difícil
qstr_Normal|Normal
qstr_Easy|Fácil
qstr_{s2}^Payout_Bonus_+{|{s2}^Pagamento Bônus +{reg2}%
qstr_{s2}^AI_Upgrade___Wi|{s2}^Melhora na IA - Irá montar novamente
qstr_{s2}^AI_Upgrade___Fo|{s2}^Melhora na IA - Disparo focado
